Time,Value
16.86,20.568
16.88,26.317
16.9,31.901
16.92,37.288
16.94,42.444
16.96,47.332
16.98,51.913
17.0,56.144
17.02,59.978
17.04,63.365
17.06,66.253
17.08,68.587
17.1,70.311
17.12,71.366
17.14,71.696
17.16,71.245
17.18,69.962
17.2,67.799
17.22,64.718
17.24,60.688
17.26,55.69
17.28,49.718
17.3,42.784
17.32,34.917
17.34,26.165
17.36,16.6
17.38,6.316
17.4,-4.57
17.42,-15.917
17.44,-27.559
17.46,-39.308
17.48,-50.957
17.5,-62.281
17.52,-73.041
17.54,-82.988
17.56,-91.873
17.58,-99.448
17.6,-105.474
17.62,-109.731
17.64,-112.025
17.66,-112.191
17.68,-110.108
17.7,-105.7
17.72,-98.946
17.74,-89.882
17.76,-78.606
17.78,-65.278
17.8,-50.125
17.82,-33.433
17.84,-15.543
17.86,3.15
17.88,22.213
17.9,41.181
17.92,59.572
17.94,76.898
17.96,92.684
17.98,106.481
18.0,117.878
18.02,126.525
18.04,132.136
18.06,134.507
18.08,133.525
18.1,129.168
18.12,121.517
18.14,110.747
18.16,97.129
18.18,81.02
18.2,62.853
18.22,43.124
18.24,22.378
18.26,1.188
18.28,-19.86
18.3,-40.189
18.32,-59.246
18.34,-76.524
18.36,-91.574
18.38,-104.019
18.4,-113.567
18.42,-120.018
18.44,-123.266
18.46,-123.301
18.48,-120.209
18.5,-114.16
18.52,-105.406
18.54,-94.267
18.56,-81.118
18.58,-66.374
18.6,-50.479
18.62,-33.886
18.64,-17.046
18.66,-0.396
18.68,15.659
18.7,30.751
18.72,44.558
18.74,56.814
18.76,67.306
18.78,75.884
18.8,82.454
18.82,86.979
18.84,89.476
18.86,90.009
18.88,88.683
18.9,85.64
18.92,81.049
18.94,75.099
18.96,67.996
18.98,59.95
19.0,51.173
19.02,41.874
19.04,32.253
19.06,22.497
19.08,12.777
19.1,3.25
19.12,-5.95
19.14,-14.704
19.16,-22.915
19.18,-30.502
19.2,-37.403
19.22,-43.572
19.24,-48.975
19.26,-53.594
19.28,-57.42
19.3,-60.454
19.32,-62.703
19.34,-64.183
19.36,-64.912
19.38,-64.914
19.4,-64.214
19.42,-62.84
19.44,-60.821
19.46,-58.187
19.48,-54.968
19.5,-51.197
19.52,-46.904
19.54,-42.123
19.56,-36.887
19.58,-31.233
19.6,-25.195
19.62,-18.812
19.64,-12.126
19.66,-5.177
19.68,1.988
19.7,9.322
19.72,16.775
19.74,24.294
19.76,31.823
19.78,39.303
19.8,46.673
19.82,53.87
19.84,60.829
19.86,67.484
19.88,73.766
19.9,79.608
19.92,84.941
19.94,89.698
19.96,93.812
19.98,97.22
